TIME,SPEED
2.572,185.7878
2.574,185.7771
2.576,185.7665
2.578,185.7559
2.580,185.7452
2.582,185.7346
2.584,185.7239
2.586,185.7133
2.588,185.7027
2.590,185.6920
2.592,185.6814
2.594,185.6708
2.596,185.6602
2.598,185.6495
2.600,185.6389
2.602,185.6283
2.604,185.6176
2.606,185.6070
2.608,185.5964
2.610,185.5858
2.612,185.5752
2.614,185.5645
2.616,185.5539
2.618,185.5433
2.620,185.5327
2.622,185.5220
2.624,185.5114
2.626,185.5008
2.628,185.4902
2.630,185.4796
2.632,185.4689
2.634,185.4583
2.636,185.4477
2.638,185.4371
2.640,185.4265
2.642,185.4159
2.644,185.4053
2.646,185.3947
2.648,185.3840
2.650,185.3734
2.652,185.3629
2.654,185.3522
2.656,185.3417
2.658,185.3311
2.660,185.3204
2.662,185.3098
2.664,185.2993
2.666,185.2887
2.668,185.2781
2.670,185.2675
2.672,185.2569
2.674,185.2463
2.676,185.2357
2.678,185.2251
2.680,185.2145
2.682,185.2040
2.684,185.1934
2.686,185.1828
2.688,185.1722
2.690,185.1616
2.692,185.1510
2.694,185.1405
2.696,185.1299
2.698,185.1193
2.700,185.1087
2.702,185.0982
2.704,185.0876
2.706,185.0770
2.708,185.0665
2.710,185.0559
2.712,185.0453
2.714,185.0347
2.716,185.0242
2.718,185.0136
2.720,185.0031
2.722,184.9925
2.724,184.9819
2.726,184.9713
2.728,184.9608
2.730,184.9502
2.732,184.9397
2.734,184.9291
2.736,184.9185
2.738,184.9080
2.740,184.8974
2.742,184.8869
2.744,184.8763
2.746,184.8657
2.748,184.8552
2.750,184.8446
2.752,184.8341
2.754,184.8235
2.756,184.8130
2.758,184.8024
2.760,184.7919
2.762,184.7813
2.764,184.7708
2.766,184.7602
2.768,184.7497
2.770,184.7391
2.772,184.7286
2.774,184.7181
2.776,184.7075
2.778,184.6970
2.780,184.6865
2.782,184.6759
2.784,184.6654
2.786,184.6549
2.788,184.6443
2.790,184.6338
2.792,184.6233
2.794,184.6128
2.796,184.6022
2.798,184.5917
2.800,184.5812
2.802,184.5707
2.804,184.5602
2.806,184.5496
2.808,184.5391
2.810,184.5286
2.812,184.5181
2.814,184.5076
2.816,184.4971
2.818,184.4865
2.820,184.4760
2.822,184.4655
2.824,184.4550
2.826,184.4445
2.828,184.4340
2.830,184.4235
2.832,184.4130
2.834,184.4025
2.836,184.3920
2.838,184.3815
2.840,184.3710
2.842,184.3605
2.844,184.3500
2.846,184.3395
2.848,184.3290
2.850,184.3185
2.852,184.3080
2.854,184.2975
2.856,184.2869
2.858,184.2765
2.860,184.2660
2.862,184.2555
2.864,184.2450
2.866,184.2345
2.868,184.2240
2.870,184.2135
2.872,184.2030
2.874,184.1925
2.876,184.1821
2.878,184.1716
2.880,184.1611
2.882,184.1506
2.884,184.1401
2.886,184.1296
2.888,184.1192
2.890,184.1087
2.892,184.0982
2.894,184.0877
2.896,184.0773
2.898,184.0668
2.900,184.0563
2.902,184.0458
2.904,184.0354
2.906,184.0249
2.908,184.0144
2.910,184.0040
2.912,183.9935
2.914,183.9830
2.916,183.9726
2.918,183.9621
2.920,183.9516
2.922,183.9412
2.924,183.9307
2.926,183.9203
2.928,183.9098
2.930,183.8994
2.932,183.8889
2.934,183.8785
2.936,183.8680
2.938,183.8576
2.940,183.8471
2.942,183.8367
2.944,183.8262
2.946,183.8158
2.948,183.8053
2.950,183.7949
2.952,183.7844
2.954,183.7740
2.956,183.7636
2.958,183.7531
2.960,183.7427
2.962,183.7322
2.964,183.7218
2.966,183.7113
2.968,183.7009
2.970,183.6905
2.972,183.6801
2.974,183.6696
2.976,183.6592
2.978,183.6488
2.980,183.6383
2.982,183.6279
2.984,183.6175
2.986,183.6070
2.988,183.5966
2.990,183.5862
2.992,183.5758
2.994,183.5654
2.996,183.5549
2.998,183.5445
3.000,183.5341
3.002,183.5237
3.004,183.5132
3.006,183.5028
3.008,183.4924
3.010,183.4820
3.012,183.4716
3.014,183.4612
3.016,183.4508
3.018,183.4404
3.020,183.4299
3.022,183.4195
3.024,183.4091
3.026,183.3987
3.028,183.3883
3.030,183.3779
3.032,183.3675
3.034,183.3571
3.036,183.3467
3.038,183.3363
3.040,183.3259
3.042,183.3155
3.044,183.3051
3.046,183.2947
3.048,183.2843
3.050,183.2739
3.052,183.2635
3.054,183.2531
3.056,183.2428
3.058,183.2324
3.060,183.2220
3.062,183.2116
3.064,183.2012
3.066,183.1908
3.068,183.1805
3.070,183.1701
3.072,183.1597
3.074,183.1493
3.076,183.1389
3.078,183.1286
3.080,183.1182
3.082,183.1078
3.084,183.0974
3.086,183.0870
3.088,183.0767
3.090,183.0663
3.092,183.0559
3.094,183.0455
3.096,183.0351
