TIME,DISTANCE,SPEED,POWERELECTRICALTOTAL
12.208001,622.72,76.50158,750
12.228001,624.249,76.50158,750
12.248001,625.779,76.50158,750
12.268001,627.311,76.85847,750
12.288001,628.844,76.85847,750
12.308001,630.379,76.85847,750
12.328001,631.915,76.85847,750
12.348001,633.453,76.85847,750
12.368001,634.993,77.22147,750
12.388001,636.534,77.22147,750
12.408001,638.077,77.22147,750
12.428001,639.62,77.22147,750
12.448001,641.165,77.22147,750
12.468001,642.712,77.56144,750
12.488001,644.262,77.56144,750
12.508001,645.813,77.56144,750
12.528001,647.364,77.56144,750
12.548001,648.918,77.56144,750
12.568001,650.473,77.85907,750
12.588001,652.029,77.85907,750
12.608001,653.587,77.85907,750
12.628001,655.147,77.85907,750
12.648001,656.709,77.85907,750
12.668001,658.272,78.24898,750
12.688001,659.838,78.24898,750
12.708001,661.405,78.24898,750
12.728001,662.974,78.24898,750
12.748001,664.545,78.24898,750
12.768001,666.117,78.68778,750
12.788001,667.691,78.68778,750
12.808001,669.267,78.68778,750
12.828001,670.845,78.68778,750
12.848001,672.425,78.68778,750
12.868001,674.007,79.15966,750
12.888001,675.59,79.15966,750
12.908001,677.175,79.15966,750
12.928001,678.762,79.15966,750
12.948001,680.351,79.15966,750
12.968001,681.942,79.63843,750
12.988001,683.535,79.63843,750
13.008001,685.131,79.63843,750
13.028001,686.729,79.63843,750
13.048001,688.329,79.63843,750
13.068001,689.93,80.10829,750
13.088001,691.532,80.10829,750
13.108001,693.134,80.10829,750
13.128001,694.738,80.10829,750
13.148001,696.345,80.10829,750
13.168001,697.954,80.58029,750
13.188001,699.567,80.58029,750
13.208001,701.183,80.58029,750
13.228001,702.8,80.58029,750
13.248001,704.419,80.58029,750
13.268001,706.039,81.07771,750
13.288001,707.66,81.07771,750
13.308001,709.284,81.07771,750
13.328001,710.91,81.07771,750
13.348001,712.539,81.07771,750
13.368001,714.17,81.54349,750
13.388001,715.801,81.54349,750
13.408001,717.435,81.54349,750
13.428001,719.07,81.54349,750
13.448001,720.707,81.54349,750
13.468001,722.346,81.99252,750
13.488001,723.986,81.99252,750
13.508001,725.627,81.99252,750
13.528001,727.27,81.99252,749.999
13.548001,728.915,81.99252,750
13.568001,730.562,82.41531,750
13.588001,732.21,82.41531,750
13.608001,733.861,82.41531,750
13.628001,735.514,82.41531,750
13.648001,737.167,82.41531,750
13.668001,738.822,82.85527,750
13.688001,740.478,82.85527,750
13.708001,742.137,82.85527,750
13.728001,743.799,82.85527,750
13.748001,745.462,82.85527,750
13.768001,747.126,83.26939,750
13.788001,748.791,83.26939,750
13.808001,750.457,83.26939,750
13.828001,752.126,83.26939,750
13.848001,753.796,83.26939,750
13.868001,755.467,83.64999,750
13.888001,757.14,83.64999,750
13.908001,758.816,83.64999,750
13.928001,760.493,83.64999,750
13.948001,762.171,83.64999,750
13.968001,763.85,84.0377,750
13.988001,765.53,84.0377,750
14.008001,767.213,84.0377,750
14.028001,768.898,84.0377,750
14.048001,770.583,84.0377,750
14.068001,772.269,84.42981,750
14.088001,773.956,84.42981,750
14.108001,775.643,84.42981,750
14.128001,777.33,84.42981,750
14.148001,779.019,84.42981,750
14.168001,780.711,84.71644,750
14.188001,782.406,84.71644,750
14.208001,784.104,84.71644,750
14.228001,785.804,84.71644,750
14.248001,787.504,84.71644,750
14.268001,789.206,85.12126,750
14.288001,790.91,85.12126,750
14.308001,792.615,85.12126,750
14.328001,794.321,85.12126,750
14.348001,796.027,85.12126,750
14.368001,797.735,85.41772,750
14.388001,799.442,85.41772,750
14.408001,801.152,85.41772,750
14.428001,802.863,85.41772,750
14.448001,804.577,85.41772,750
14.468001,806.293,85.8579,750
14.488001,808.011,85.8579,750
14.508001,809.73,85.8579,750
14.528001,811.45,85.8579,750
14.548001,813.173,85.8579,750
14.568001,814.897,86.33588,750
14.588001,816.624,86.33588,749.999
14.608001,818.353,86.33588,750
14.628001,820.083,86.33588,750
14.648001,821.816,86.33588,750
14.668001,823.551,86.80309,750
14.688001,825.287,86.80309,750
14.708001,827.023,86.80309,750
14.728001,828.762,86.80309,750
14.748001,830.503,86.80309,750
14.768001,832.246,87.26151,750
14.788001,833.991,87.26151,750
14.808001,835.738,87.26151,750
14.828001,837.488,87.26151,750
14.848001,839.241,87.26151,750
14.868001,840.994,87.7105,750
14.888001,842.749,87.7105,750
14.908001,844.504,87.7105,750
14.928001,846.258,87.7105,750
14.948001,848.015,87.7105,750
14.968001,849.775,88.08815,750
14.988001,851.537,88.08815,750
15.008001,853.301,88.08815,749.999
15.028001,855.067,88.08815,750
15.048001,856.836,88.08815,750
15.068001,858.606,88.56232,750
15.088001,860.378,88.56232,750
15.108001,862.15,88.56232,750
15.128001,863.925,88.56232,750
15.148001,865.702,88.56232,750
15.168001,867.48,88.97461,750
15.188001,869.261,88.97461,749.998
15.208001,871.043,88.97461,750
15.228001,872.826,88.97461,622.681
15.248001,874.61,88.97461,484.004
15.268001,876.394,89.23251,-184.389
15.288001,878.176,89.23251,-428.219
15.308001,879.949,89.23251,-536.809
15.328001,881.713,89.23251,-745.675
15.348001,883.462,89.23251,-750
15.368001,885.195,86.23873,-750
15.388001,886.911,86.23873,-750
15.408001,888.612,86.23873,-748.196
15.428001,890.295,86.23873,-742.176
15.448001,891.963,86.23873,-735.656
15.468001,893.613,82.0741,-726.394
15.488001,895.247,82.0741,-717.459
15.508001,896.865,82.0741,-705.304
15.528001,898.466,82.0741,-686.672
15.548001,900.053,82.0741,-654.914
